DAFTAR ASET DESA REJOAGUNG — KATEGORI FASILITAS PENDIDIKAN,,,,,,,,,,,
,,,,,,,,,,,
NOMOR,NAMA ASET,ALAMAT / LOKASI,KOORDINAT,KONDISI,STATUS KEPEMILIKAN,LUAS TANAH (m²),RENTANG NILAI TANAH (Rp/m²),KETERANGAN,,,
2,Pondok Pesantren Al Falah Rejoagung,Fasilitas Pendidikan,"Jl. K. Sidik, Sumberagung, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.392413922264918, 114.3030527456301",,Hak Milik,"Sarana penyelenggaraan kegiatan pendidikan, pembelajaran, dan pengembangan sumber daya manusia.",387 m²,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
3,Pondok Pesantren Darussalam,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Srono, Banyuwangi Regency, East Java 68471","-8.380903395592108, 114.30651672178539",,-,"Sarana penyelenggaraan kegiatan pendidikan, pembelajaran, dan pengembangan sumber daya manusia.",-,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
4,Pondok Pesantren Salaf Darussalam,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Srono, Banyuwangi Regency, East Java 68471","-8.379962920585527, 114.30589903388307",,Kosong,"Sarana penyelenggaraan kegiatan pendidikan, pembelajaran, dan pengembangan sumber daya manusia.",-,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
5,SD N 2 Rejoagung,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.38371989423114, 114.30684837623363",,-,"Sarana penyelenggaraan kegiatan pendidikan, pembelajaran, dan pengembangan sumber daya manusia.",-,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
6,SDN 1 Rejoagung Srono,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.384832643030498, 114.30244043462609",,-,"Sarana penyelenggaraan kegiatan pendidikan, pembelajaran, dan pengembangan sumber daya manusia.",-,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
7,SMK NU Darussalam,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Srono, Banyuwangi Regency, East Java 68471","-8.379481745217138, 114.30513978613338",,Hak Milik,"Sarana penyelenggaraan kegiatan pendidikan, pembelajaran, dan pengembangan sumber daya manusia.",435,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
8,SMP Al Amiriyyah,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Srono, Banyuwangi Regency, East Java 68471","-8.379783589292682, 114.30614657693447",,Kosong,"Sarana penyelenggaraan kegiatan pendidikan, pembelajaran, dan pengembangan sumber daya manusia.","1,831 m²",Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
9,TK Khadijah 203 Rejoagung,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.379039074344961, 114.30950814137796",,Hak Wakaf,"Sarana penyelenggaraan kegiatan pendidikan, pembelajaran, dan pengembangan sumber daya manusia.",254,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
10,MTs Unggulan Darussalam,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Srono, Banyuwangi Regency, East Java 68471","-8.380819737094548, 114.30636920358351",,-,"Sarana penyelenggaraan kegiatan pendidikan, pembelajaran, dan pengembangan sumber daya manusia.",-,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
11,MI Al Ma'arif Rejoagung,Fasilitas Pendidikan,"Jl. K. Sidik Sumberagung, RT.01/RW.02, Krajan, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.39081874694406, 114.30315637211939",,Hak Wakaf,"Sarana penyelenggaraan kegiatan pendidikan, pembelajaran, dan pengembangan sumber daya manusia.",2464,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
