,,,,
,RINGKASAN & REKAPITULASI ASET DESA REJOAGUNG,,,
,Tahun 2026 — data bersumber dari sheet INVENTARISASI ASET,,,
,,,,
,TOTAL ASET TERDATA,TOTAL LUAS TANAH,JUMLAH KATEGORI,ASET BELUM VERIFIKASI
,44,"44,768 m²",4,7
,,m²,kategori,aset
,,,,
,,,,
,REKAPITULASI PER KATEGORI ASET,,,
,Kategori Aset,Jumlah Aset,Total Luas (m²),% dari Total Aset
,Olahraga,2,"10,192",9.1%
,Fasilitas Pemerintahan,1,0,4.5%
,Fasilitas Keagamaan,27,"24,458",122.7%
,Fasilitas Pendidikan,14,"10,118",63.6%
,TOTAL,44,"44,768",200.0%
,,,,
,,,,
,REKAPITULASI PER STATUS KEPEMILIKAN,,,
,Status Kepemilikan,Jumlah Aset,% dari Total,
,Hak Milik,25,113.6%,
,Hak Wakaf,8,36.4%,
,Hak Pakai,1,4.5%,
,Kosong (Belum Ada Dokumen),4,18.2%,
,Belum Terverifikasi,6,27.3%,
