BUKU INDUK INVENTARISASI ASET DESA REJOAGUNG,,,,,,,,,,,
,,,,,,,,,,,
NOMOR,NAMA ASET,KATEGORI ASET,ALAMAT / LOKASI,KOORDINAT,KONDISI,STATUS KEPEMILIKAN,FUNGSI / MANFAAT,LUAS TANAH (m²),RENTANG NILAI TANAH (Rp/m²),DOKUMENTASI,KETERANGAN
1,"""RSC"" Rejoagung Sport Center",Olahraga," Sumberagung, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.386578222828776, 114.29964314279374",,Kosong,Sarana olahraga dan kegiatan masyarakat,"2,234 m²",Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
3,Kantor Desa Rejoagung,Fasilitas Pemerintahan,"Rejoagung, Srono, Sumberagung, Rejoagung, Kabupaten Banyuwangi, Jawa Timur 68471","-8.379284867742802, 114.30870560851228",,-,,-,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
4,Lapangan Rejoagung,Olahraga,"Sumbergroto, Rejoagung, Srono, Banyuwangi Regency, East Java 68471","-8.39385251488808, 114.31367960376035",,Hak Pakai,,"7,958 m²",Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
5,Masjid Al Ikhlas,Fasilitas Keagamaan," Sumberagung, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.366465375488302, 114.30756580829103",,Hak Milik,,512 m²,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
7,Masjid An-Nur Leba'an,Fasilitas Keagamaan,"Sumbergroto, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.386299720090896, 114.3124985001481",,Hak Milik,,313 m²,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
8,Masjid Baitul Jannah,Fasilitas Keagamaan,"Sumbergroto, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.370069386523198, 114.31632502104387",,Hak Wakaf,,390 m²,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
9,MI Al Ma'arif Rejoagung,Fasilitas Pendidikan,"Jl. K. Sidik Sumberagung, RT.01/RW.02, Krajan, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.39081874694406, 114.30315637211939",,Hak Wakaf,,"2,464 m²",Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
11,Masjid At-Taqwa,Fasilitas Keagamaan,"Sumberagung, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.387233807742788, 114.30742397932381",,Hak Wakaf,,211 m²,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
12,Mushola At-Taubat,Fasilitas Keagamaan,"Sumbergroto, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.377004038390757, 114.31088265731704",,Hak Milik,,690 m²,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
13,Mushola Baburrohmah,Fasilitas Keagamaan,"Sumbergroto, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.36847470108048, 114.31244429110217",,Hak Milik,,839 m²,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
15,Mushola Jabal Nur,Fasilitas Keagamaan,"Sumberagung, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.380062774300711, 114.30708876415044",,Hak Milik,,"1,646 m²",Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
16,Mushola Kalingga Murdha,Fasilitas Keagamaan,"Sumbergroto, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.368957249623543, 114.31241713585393",,Hak Milik,,844 m²,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
18,Mushola Thoriqul Jannah,Fasilitas Keagamaan,"Sumberagung, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.385277463077681, 114.30605723050775",,Hak Milik,,846 m²,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
19,Pondok Pesantren Al Falah Rejoagung,Fasilitas Pendidikan,"Jl. K. Sidik, Sumberagung, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.392413922264918, 114.3030527456301",,Hak Milik,,387 m²,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
20,Pondok Pesantren Darussalam,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Srono, Banyuwangi Regency, East Java 68471","-8.380903395592108, 114.30651672178539",,-,,-,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
21,Pondok Pesantren Salaf Darussalam,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Srono, Banyuwangi Regency, East Java 68471","-8.379962920585527, 114.30589903388307",,Kosong,,-,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
22,SD N 2 Rejoagung,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.38371989423114, 114.30684837623363",,-,,-,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
23,SDN 1 Rejoagung Srono,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.384832643030498, 114.30244043462609",,-,,-,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
24,SMK NU Darussalam,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Srono, Banyuwangi Regency, East Java 68471","-8.379481745217138, 114.30513978613338",,Hak Milik,,435 m²,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
25,SMP Al Amiriyyah,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Srono, Banyuwangi Regency, East Java 68471","-8.379783589292682, 114.30614657693447",,Kosong,,"1,831 m²",Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
26,TK Khadijah 203 Rejoagung,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","-8.379039074344961, 114.30950814137796",,Hak Wakaf,,254 m²,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
27,MTs Unggulan Darussalam,Fasilitas Pendidikan,"Sumberagung, Rejoagung, Srono, Banyuwangi Regency, East Java 68471","-8.380819737094548, 114.30636920358351",,-,,-,Rp 200.000 - 500.000,,Data luas dan ZNT diperoleh dari BHUMI ATR/BPN
